event_type,date,symbol,strategy,direction,price,stop_price,target_price,size,pnl,r_multiple,exit_reason,equity_after
entry,2026-08-07,EREGL.IS,donchian,-1,38.66066030502319,41.715676702020524,,32.73304853561064,,,,9999.367259364908
entry,2026-08-10,TUPRS.IS,donchian,1,340.16999999999996,317.33932032098807,,4.37979394391717,,,,9998.622322111956
entry,2026-08-12,AEFES.IS,donchian,-1,19.210389313697817,20.767198873211605,,64.22508302964596,,,,9998.005427687604
entry,2026-08-12,ASUZU.IS,donchian,-1,47.21638167762757,50.429296658197096,,31.12009618237572,,,,9997.270738518007
entry,2026-08-12,MGROS.IS,donchian,-1,579.2102500000001,623.8837253939859,,2.238156363240554,,,,9996.622556964661
entry,2026-08-13,ARCLK.IS,donchian,-1,94.60267652511597,99.12030760469334,,12.222488425599254,,,,9996.044416905232
entry,2026-08-13,ASELS.IS,donchian,1,395.94787499999995,362.68049574579896,,0.6211341168617924,,,,9995.921448538402
entry,2026-08-13,BRMEN.IS,donchian,-1,15.342325381278993,17.53024192810142,,45.69014559299819,,,,9995.5709519982
entry,2026-08-13,DIRIT.IS,donchian,1,26.012999999999998,23.69368240243124,,9.454377951848254,,,,9995.44798363137
entry,2026-08-13,KORDS.IS,donchian,1,83.49172194671631,75.04329703612777,,2.9456421298674638,,,,9995.32501526454
entry,2026-08-13,KRONT.IS,donchian,1,28.014,25.012495223703823,,8.779065241001831,,,,9995.20204689771
entry,2026-08-17,KRDMD.IS,donchian,1,45.64280893135071,41.987903794397326,,5.627314565499037,,,,9995.073623675955
exit,2026-08-19,KRONT.IS,donchian,1,24.999988976091974,25.012495223703823,,8.779065241001831,-26.569937683110005,-1.0041666592405967,stop,9968.503685992844
entry,2026-08-19,EMKEL.IS,donchian,-1,16.411790076255798,18.191458680602718,,17.82512402060673,,,,9968.357414896089
exit,2026-08-24,ASUZU.IS,donchian,-1,50.45451130652619,50.429296658197096,,31.12009618237572,-101.55598012467277,-1.0078479040004438,stop,9866.801434771416
entry,2026-08-24,ADEL.IS,donchian,1,35.777878320693965,32.919700221955296,,3.9111051020218786,,,,9866.731469250197
entry,2026-08-24,ALBRK.IS,donchian,1,8.944469580173491,8.454953347953692,,15.644420408087331,,,,9866.661503728978
entry,2026-08-24,BAKAB.IS,donchian,-1,39.980000000000004,44.81193380912209,,3.4099161747620874,,,,9866.593339504643
entry,2026-08-24,BRSAN.IS,donchian,1,753.3765,692.2221960485317,,0.18573852839793978,,,,9866.523373983424
entry,2026-08-24,KLGYO.IS,donchian,1,4.862430133581161,4.565973883641353,,28.778005769827903,,,,9866.453408462205
entry,2026-08-24,MNDRS.IS,donchian,1,12.026010457992554,11.362602726317004,,11.63569938080179,,,,9866.383442940985
entry,2026-08-24,NETAS.IS,donchian,1,107.35365305328368,98.69786680429212,,1.3034586011724718,,,,9866.313477419766
entry,2026-08-24,TSPOR.IS,donchian,1,1.170584957063198,1.0793081200365644,,119.5394162510452,,,,9866.243511898547
entry,2026-08-24,YUNSA.IS,donchian,-1,8.4157900762558,9.011705115475037,,16.19912657417883,,,,9866.175347674212
exit,2026-08-26,NETAS.IS,donchian,1,90.15489694976807,98.69786680429212,,1.3034586011724718,-22.47662316052846,-1.9869663608570904,stop,9843.698724513684
entry,2026-08-26,BSOKE.IS,donchian,-1,30.9845,34.05954205687312,,32.01159054885684,,,,9843.202792950004
exit,2026-08-28,DIRIT.IS,donchian,1,25.36730916118622,23.69368240243124,,9.454377951848254,-6.224521294407003,-0.27839690411120394,trailing,9836.978271655596
exit,2026-09-02,ADEL.IS,donchian,1,32.86356106758118,32.919700221955296,,3.9111051020218786,-11.46246749824081,-1.0196415872051114,stop,9825.515804157356
exit,2026-09-02,BRSAN.IS,donchian,1,691.8760849505074,692.2221960485317,,0.18573852839793978,-11.487250610081466,-1.0056596359644439,stop,9814.028553547274
exit,2026-09-02,MNDRS.IS,donchian,1,11.294350190639497,11.362602726317004,,11.63569938080179,-8.579087751557127,-1.1028817308250591,stop,9805.449465795717
exit,2026-09-02,TSPOR.IS,donchian,1,1.049474952340126,1.0793081200365644,,119.5394162510452,-14.540146078343767,-1.3268426981944308,stop,9790.909319717373
entry,2026-09-02,KARSN.IS,donchian,1,11.30565019083023,10.42185068917959,,58.83866084520065,,,,9790.576715058767
entry,2026-09-02,VESTL.IS,donchian,1,24.872430610656735,22.702022005667438,,26.744845633532112,,,,9790.244110400161
exit,2026-09-04,KORDS.IS,donchian,1,75.0057753876097,75.04329703612777,,2.9456421298674638,-25.107031782290825,-1.004441259633028,stop,9765.13707861787
exit,2026-09-14,ASELS.IS,donchian,1,372.31375,362.68049574579896,,0.6211341168617924,-14.79558974582704,-0.7104294215486007,trailing,9750.341488872044
exit,2026-09-14,KLGYO.IS,donchian,1,4.563690896699532,4.565973883641353,,28.778005769827903,-8.662786444131978,-1.0077009236347163,stop,9741.678702427911
exit,2026-09-17,ALBRK.IS,donchian,1,7.986004771232605,8.454953347953692,,15.644420408087331,-15.0570946254394,-1.9579837109681852,stop,9726.621607802472
exit,2026-09-17,KRDMD.IS,donchian,1,41.67915076255799,41.987903794397326,,5.627314565499037,-22.422022191988397,-1.0844763462442981,stop,9704.199585610484
entry,2026-09-17,ATLAS.IS,donchian,-1,5.667165076255799,6.497992759276019,,8.581005623419717,,,,9704.17527062279
entry,2026-09-17,BTCIM.IS,donchian,-1,3.1084448951482773,3.580651167269664,,15.64447079763279,,,,9704.150955635097
entry,2026-09-17,CEMAS.IS,donchian,-1,3.49825,3.8491623505751447,,13.901229296990335,,,,9704.126640647404
entry,2026-09-17,DAGI.IS,donchian,-1,7.466264790296555,8.644487734099346,,6.513293695583828,,,,9704.102325659711
entry,2026-09-17,DIRIT.IS,donchian,-1,23.668160305023196,26.38607256045877,,2.054658019950857,,,,9704.078010672018
entry,2026-09-17,DMSAS.IS,donchian,-1,6.746625000000001,7.396241502053921,,7.208044820661862,,,,9704.053695684324
entry,2026-09-17,EKIZ.IS,donchian,-1,51.17440076255799,56.145473743024795,,0.9502793323137569,,,,9704.029380696631
entry,2026-09-17,GEREL.IS,donchian,-1,29.48525,34.47468552295375,,1.6492983911683736,,,,9704.005065708938
entry,2026-09-17,GLBMD.IS,donchian,-1,10.294850190639496,11.272190549205877,,4.7237186056791485,,,,9703.980750721244
entry,2026-09-17,GLRYH.IS,donchian,-1,2.4187900762557986,2.7095768846238615,,20.105083060155224,,,,9703.956435733551
entry,2026-09-17,KORDS.IS,donchian,-1,3.3783101143836975,3.9198194401422977,,14.394763577550378,,,,9703.932120745858
entry,2026-09-17,LINK.IS,donchian,-1,4.437780057191849,4.916972982946233,,10.958176106405684,,,,9703.907805758165
entry,2026-09-18,ACSEL.IS,donchian,-1,98.20087500000001,108.1130379870647,,0.1999656422229454,,,,9703.897987357646
entry,2026-09-18,ADESE.IS,donchian,-1,0.749625,0.8150283462650862,,26.19549913120522,,,,9703.888168957128
entry,2026-09-18,BRKSN.IS,donchian,-1,6.856570133447647,7.3625079130186135,,2.863939353648373,,,,9703.87835055661
entry,2026-09-18,ISBIR.IS,donchian,-1,64.9675,69.5266304423715,,0.30225575920621617,,,,9703.868532156092
exit,2026-09-21,ATLAS.IS,donchian,-1,6.5012417556556565,6.497992759276019,,8.581005623419717,-7.18511027232567,-1.0039105538320856,stop,9696.683421883767
exit,2026-09-21,KARSN.IS,donchian,1,8.695649809360505,10.42185068917959,,58.83866084520065,-153.82474744612225,-2.953158919636326,stop,9542.858674437644
exit,2026-09-21,VESTL.IS,donchian,1,22.690670994664604,22.702022005667438,,26.744845633532112,-58.654253385720644,-1.0052298958715609,stop,9484.204421051923
entry,2026-09-21,AVTUR.IS,donchian,-1,9.97500954246521,11.331586412136925,,1.5176680579965782,,,,9484.196851675242
entry,2026-09-21,AYES.IS,donchian,-1,23.088450381278992,25.370656711305298,,0.6556851200843516,,,,9484.189282298561
entry,2026-09-21,BALAT.IS,donchian,-1,59.37030152511597,64.37757671855124,,0.2549886554712245,,,,9484.18171292188
entry,2026-09-21,BASCM.IS,donchian,-1,10.744625000000001,11.404116518862905,,1.4089606068904694,,,,9484.174143545199
entry,2026-09-21,CMENT.IS,donchian,-1,210.99445610046388,227.53754202600166,,0.07174953143604056,,,,9484.166574168517
entry,2026-09-21,DURDO.IS,donchian,-1,4.2478750000000005,4.617761507606259,,3.5638415350758934,,,,9484.159004791836
entry,2026-09-21,EGSER.IS,donchian,-1,2.5986999046802524,2.8111971064513237,,5.825510415244812,,,,9484.151435415155
entry,2026-09-21,GEDZA.IS,donchian,-1,23.78809923744202,25.688313661802287,,0.636400294521321,,,,9484.143866038474
entry,2026-09-21,KONYA.IS,donchian,-1,3570.7137500000003,3931.673187698462,,0.004239699516885248,,,,9484.136296661793
exit,2026-09-22,DURDO.IS,donchian,-1,4.620070388360062,4.617761507606259,,3.5638415350758934,-1.334677983573794,-1.0062421329416544,stop,9482.801618678219
entry,2026-09-22,DGATE.IS,donchian,-1,63.31832347488404,76.14339270928868,,0.1576814382436029,,,,9482.796626616062
entry,2026-09-22,SKBNK.IS,donchian,-1,5.6071951334476475,6.405938298563662,,1.780591556933127,,,,9482.791634553905
